processes,time,data_size
1,0.046540,1MB
1,0.043813,1MB
1,0.043933,1MB
2,0.025733,1MB
2,0.026066,1MB
2,0.024290,1MB
4,0.018810,1MB
4,0.020426,1MB
4,0.022530,1MB
8,0.016095,1MB
8,0.016189,1MB
8,0.016599,1MB
10,0.015956,1MB
10,0.018974,1MB
10,0.015322,1MB
1,0.234351,5MB
1,0.222354,5MB
1,0.220496,5MB
2,0.115367,5MB
2,0.115507,5MB
2,0.112835,5MB
4,0.068836,5MB
4,0.068051,5MB
4,0.070875,5MB
8,0.050560,5MB
8,0.054417,5MB
8,0.057274,5MB
10,0.048809,5MB
10,0.054604,5MB
10,0.051300,5MB
1,0.926518,20MB
1,0.872360,20MB
1,0.875076,20MB
2,0.457043,20MB
2,0.443240,20MB
2,0.441392,20MB
4,0.250662,20MB
4,0.250336,20MB
4,0.251656,20MB
8,0.163669,20MB
8,0.167162,20MB
8,0.165297,20MB
10,0.149346,20MB
10,0.151825,20MB
10,0.159315,20MB
